,모집단위(주택군),주택열람가능여부,광역지자체,기초지자체,주소,동,호,공급형,성별용도구분,전용면적,주거공용면적,면적계,방수,층,승강기,주택유형,청년 1순위_기본임대보증금,청년 1순위_기본월임대료,청년 1순위_상한임대보증금,청년 1순위_하한월임대료,청년 1순위_임대료하한기준액,청년 1순위_계약금,청년 1순위_잔금,청년 2·3순위_임대보증금,청년 2·3순위_월임대료,청년 2·3순위_상한임대보증금,청년 2·3순위_하한월임대료,청년 2·3순위_임대료하한기준액,청년 2·3순위_계약금,청년 2·3순위_잔금,비고,호관리번호
1,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,"인천광역시 남동구 포구로 45(논현동,유호엔시티 2단지) 201동",,204,단독(1인),남여공용,32.495,53.5886,86.0836,1,2층,Y,오피스텔,"1,000,000","140,740","13,600,000","67,240","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","170,430","19,500,000","68,340","68,170",기본임대보증금의 10%,임대보증금-계약금,,P28200A0011608
2,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,"인천광역시 남동구 포구로 45(논현동,유호엔시티 2단지) 201동",,1105,단독(1인),남여공용,32.495,53.5886,86.0836,1,11층,Y,오피스텔,"1,000,000","143,490","14,100,000","67,070","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","173,880","19,800,000","70,040","69,550",기본임대보증금의 10%,임대보증금-계약금,,P28200A0011616
3,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,709,단독(1인),남여공용,22.1,24.83,46.93,1,7층,Y,오피스텔,"1,000,000","121,790","10,400,000","66,950","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","146,910","15,700,000","66,990","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021638
4,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,801,단독(1인),남여공용,21.46,24.13,45.59,1,8층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021640
5,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,807,단독(1인),남여공용,21.46,24.13,45.59,1,8층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021644
6,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,815,단독(1인),남여공용,21.46,24.13,45.59,1,8층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021648
7,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,906,단독(1인),남여공용,21.46,24.13,45.59,1,9층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021654
8,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,907,단독(1인),남여공용,21.46,24.13,45.59,1,9층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021659
9,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,909,단독(1인),남여공용,22.1,24.83,46.93,1,9층,Y,오피스텔,"1,000,000","121,790","10,400,000","66,950","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","146,910","15,700,000","66,990","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021656
10,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,915,단독(1인),남여공용,21.46,24.13,45.59,1,9층,Y,오피스텔,"1,000,000","118,190","9,800,000","66,850","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","142,470","14,900,000","67,220","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0021657
11,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 앵고개로847번길 80-1(논현동) 무유썬산야,,604,단독(1인),남여공용,21.46,24.13,45.59,1,6층,Y,오피스텔,"1,000,000","128,120","11,500,000","66,870","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","154,830","17,100,000","66,740","66,670",기본임대보증금의 10%,임대보증금-계약금,,P28200A0051675
12,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인주대로623번길 35(구월동) 산토리니빌,,1204,단독(1인),남여공용,45.06,11.419,56.479,3,12층,Y,도시형생활주택(단지형 연립주택),"1,000,000","456,570","47,900,000","182,980","182,620",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","560,520","59,600,000","224,520","224,200",기본임대보증금의 10%,임대보증금-계약금,,P28200A0051896
13,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 당좌로 41(구월동) ,,207,단독(1인),남여공용,21.064,7.188,28.252,1,2층,N,다가구주택,"1,000,000","121,590","13,500,000","48,670","48,630",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","144,350","16,800,000","58,010","57,740",기본임대보증금의 10%,임대보증금-계약금,,P2820001580003
14,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인하로411번길 58-10(구월동) ,,103,단독(1인),남여공용,21.23,10.3775,31.6075,1,1층,N,다가구주택,"1,000,000","186,470","20,100,000","75,050","74,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","224,440","25,000,000","90,270","89,770",기본임대보증금의 10%,임대보증금-계약금,,P2820001550003
15,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인하로411번길 58-10(구월동) ,,304,단독(1인),남여공용,21.23,10.3775,31.6075,1,3층,N,다가구주택,"1,000,000","218,340","23,400,000","87,670","87,330",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","264,270","29,100,000","106,180","105,700",기본임대보증금의 10%,임대보증금-계약금,,P2820001550014
16,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인주대로518번길 28-11(구월동) ,,202,단독(1인),남여공용,17.97,6.85,24.82,1,2층,N,다가구주택,"1,000,000","148,250","16,200,000","59,580","59,300",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","178,110","20,300,000","71,360","71,240",기본임대보증금의 10%,임대보증금-계약금,,P28200A0040002
17,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인수남로 9-3(만수동) ,,301,단독(1인),남여공용,18.855,11.248,30.103,1,3층,N,다가구주택,"1,000,000","157,400","17,100,000","63,480","62,960",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","189,720","21,500,000","75,970","75,880",기본임대보증금의 10%,임대보증금-계약금,,P2820002070005
18,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 인수로32번길 4-5(만수동) ,,304,단독(1인),남여공용,17.93,5.84,23.77,1,3층,N,다가구주택,"1,000,000","146,910","16,100,000","58,820","58,760",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","177,030","20,200,000","70,860","70,810",기본임대보증금의 10%,임대보증금-계약금,,P2820002080009
19,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로692번길 14-6(구월동) ,,201,단독(1인),남여공용,22.85,6.6,29.45,1,2층,N,다가구주택,"1,000,000","251,220","26,800,000","100,720","100,480",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","307,680","33,600,000","123,340","123,070",기본임대보증금의 10%,임대보증금-계약금,,P2820002220003
20,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 석산로 231(간석동) ,,203,단독(1인),남여공용,19.16,6.038,25.198,1,2층,N,다가구주택,"1,000,000","187,670","20,300,000","75,080","75,060",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","227,550","25,400,000","91,050","91,020",기본임대보증금의 10%,임대보증금-계약금,,P2820002400004
21,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 석정로552번길 41(간석동) ,,304,단독(1인),남여공용,24.16,7.138,31.298,1,3층,N,다가구주택,"1,000,000","208,900","22,400,000","84,060","83,560",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","253,760","28,100,000","101,510","101,500",기본임대보증금의 10%,임대보증금-계약금,,P2820002430013
22,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,517,단독(1인),남여공용,16.51,16.617,33.127,1,5층,Y,혼합형,"1,000,000","105,630","11,800,000","42,630","42,250",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","126,860","15,000,000","51,020","50,740",기본임대보증금의 10%,임대보증금-계약금,,P2820001801512
23,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,616,단독(1인),남여공용,16.51,16.617,33.127,1,6층,Y,혼합형,"1,000,000","105,630","11,800,000","42,630","42,250",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","126,860","15,000,000","51,020","50,740",기본임대보증금의 10%,임대보증금-계약금,,P2820001801526
24,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,619,단독(1인),남여공용,16.51,16.617,33.127,1,6층,Y,혼합형,"1,000,000","105,630","11,800,000","42,630","42,250",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","126,860","15,000,000","51,020","50,740",기본임대보증금의 10%,임대보증금-계약금,,P2820001801529
25,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,812,단독(1인),남여공용,20.42,20.552,40.972,1,8층,Y,혼합형,"1,000,000","138,210","15,200,000","55,370","55,280",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","167,050","19,100,000","67,300","66,820",기본임대보증금의 10%,임대보증금-계약금,,P2820001801558
26,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,901,단독(1인),남여공용,20.65,20.784,41.434,1,9층,Y,혼합형,"1,000,000","139,810","15,300,000","56,390","55,920",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","169,020","19,300,000","68,100","67,600",기본임대보증금의 10%,임대보증금-계약금,,P2820001801564
27,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,904,단독(1인),남여공용,19.49,19.616,39.106,1,9층,Y,혼합형,"1,000,000","131,740","14,500,000","52,990","52,690",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","159,080","18,300,000","63,990","63,630",기본임대보증금의 10%,임대보증금-계약금,,P2820001801567
28,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,1005,단독(1인),남여공용,19.49,19.616,39.106,1,10층,Y,혼합형,"1,000,000","131,740","14,500,000","52,990","52,690",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","159,080","18,300,000","63,990","63,630",기본임대보증금의 10%,임대보증금-계약금,,P2820001801582
29,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 남동대로915번길 19(간석동) 라온휴,,615,단독(1인),남여공용,32.15,32.358,64.508,1,6층,Y,도시형생활주택(원룸형),"1,000,000","206,760","22,200,000","83,090","82,700",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","251,270","27,800,000","100,770","100,500",기본임대보증금의 10%,임대보증금-계약금,,P2820001811594
30,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 예술로226번길 12(구월동) 드림타운 * 주차협소,,204,단독(1인),남여공용,29.9515,12.7015,42.653,1,2층,Y,혼합형,"1,000,000","175,660","19,000,000","70,660","70,260",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","212,670","23,800,000","85,500","85,060",기본임대보증금의 10%,임대보증금-계약금,"주차공간 협소, 
차량소유자 신청 지양",P28200A0052176
31,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 예술로226번길 12(구월동) 드림타운 * 주차협소,,503,단독(1인),남여공용,29.9515,12.7015,42.653,1,5층,Y,혼합형,"1,000,000","175,660","19,000,000","70,660","70,260",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","212,670","23,800,000","85,500","85,060",기본임대보증금의 10%,임대보증금-계약금,"주차공간 협소, 
차량소유자 신청 지양",P28200A0052193
32,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 용천로4번길 63-5(구월동) ,,202,1형,남여공용,18.04,5.8,23.84,1,2층,N,다가구주택,"1,000,000","154,520","16,800,000","62,350","61,800",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","185,970","21,100,000","74,550","74,380",기본임대보증금의 10%,임대보증금-계약금,,PRM05400100080
33,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 용천로4번길 63-5(구월동) ,,205,1형,남여공용,18.53,5.958,24.488,1,2층,N,다가구주택,"1,000,000","157,390","17,100,000","63,470","62,950",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","189,500","21,400,000","76,330","75,800",기본임대보증금의 10%,임대보증금-계약금,,PRM05400100083
34,24-4 남동구,열람불가(계약 전 주택 개방),인천광역시,남동구,인천광역시 남동구 벽돌말로3번길 12(간석동) ,,202,1형,남여공용,16.77,7.37,24.14,1,2층,N,다가구주택,"1,000,000","59,410","4,300,000","40,160","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","69,510","7,100,000","39,760","39,580",기본임대보증금의 10%,임대보증금-계약금,,P2820001720005
35,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,419,단독(1인),남여공용,20.7376,11.0125,31.7501,1,4층,Y,오피스텔,"1,000,000","152,630","15,700,000","66,880","66,670",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","184,900","21,000,000","74,060","73,960",기본임대보증금의 10%,임대보증금-계약금,,P2817003711612
36,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,302,단독(1인),남여공용,20.7376,11.0125,31.7501,1,3층,Y,오피스텔,"1,000,000","166,990","18,100,000","67,240","66,790",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","202,840","22,800,000","81,500","81,130",기본임대보증금의 10%,임대보증금-계약금,,P2817003712284
37,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 염전로168번길 28(도화동) 도화두손지젤시티,A,403,단독(1인),남여공용,20.7376,11.0125,31.7501,1,4층,Y,오피스텔,"1,000,000","166,990","18,100,000","67,240","66,790",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","202,840","22,800,000","81,500","81,130",기본임대보증금의 10%,임대보증금-계약금,,P2817003712300
38,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,1408,단독(1인),남여공용,33.1138,22.1251,55.2389,1,14층,Y,오피스텔,"1,000,000","203,240","21,900,000","81,320","81,290",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","247,760","27,400,000","99,590","99,100",기본임대보증금의 10%,임대보증금-계약금,,P2817003712408
39,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,1505,단독(1인),남여공용,34.8839,22.4349,57.3188,1,15층,Y,오피스텔,"1,000,000","211,060","22,700,000","84,470","84,420",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","257,430","28,400,000","103,430","102,970",기본임대보증금의 10%,임대보증금-계약금,,P2817003712401
40,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,543,단독(1인),남여공용,21.6777,27.5574,49.2351,1,5층,Y,오피스텔,"1,000,000","192,320","20,700,000","77,400","76,920",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","233,860","26,000,000","93,860","93,540",기본임대보증금의 10%,임대보증금-계약금,,P2817003712521
41,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,1112,단독(1인),남여공용,21.6777,27.8274,49.5051,1,11층,Y,오피스텔,"1,000,000","191,800","20,700,000","76,880","76,720",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","233,190","25,900,000","93,770","93,270",기본임대보증금의 10%,임대보증금-계약금,,P2817003712477
42,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,1808,단독(1인),남여공용,21.6777,27.5574,49.2351,1,18층,Y,오피스텔,"1,000,000","190,730","20,600,000","76,390","76,290",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","231,870","25,800,000","93,030","92,740",기본임대보증금의 10%,임대보증금-계약금,,P2817003712524
43,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 용정공원로83번길 49(용현동) 인하대 헤리움메트로 타워,,2137,단독(1인),남여공용,21.6777,27.5574,49.2351,1,21층,Y,오피스텔,"1,000,000","200,110","21,500,000","80,520","80,040",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","243,600","27,000,000","97,760","97,440",기본임대보증금의 10%,임대보증금-계약금,,P2817003712485
44,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,805,단독(1인),남여공용,34.8839,22.4349,57.3188,1,8층,Y,오피스텔,"1,000,000","223,120","23,900,000","89,530","89,240",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","271,830","29,900,000","109,080","108,730",기본임대보증금의 10%,임대보증금-계약금,,P28170A0043071
45,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34(주안동) 주안희망타운,1,102,단독(1인),남여공용,14.51,4.05,18.56,1,1층,N,다가구주택,"1,000,000","88,260","9,300,000","39,840","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","103,690","12,600,000","41,850","41,470",기본임대보증금의 10%,임대보증금-계약금,,PRM05200030012
46,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34(주안동) 주안희망타운,1,203,단독(1인),남여공용,14.51,4.05,18.56,1,2층,N,다가구주택,"1,000,000","92,570","10,000,000","40,070","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","109,090","13,200,000","43,750","43,630",기본임대보증금의 10%,임대보증금-계약금,,PRM05200030015
47,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34-1(주안동) 주안희망타운,2,301,단독(1인),남여공용,17.47,6.36,23.83,1,3층,N,다가구주택,"1,000,000","113,810","12,700,000","45,560","45,520",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","135,360","15,900,000","54,270","54,140",기본임대보증금의 10%,임대보증금-계약금,,PRM05200040030
